fid,GISJOIN,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
"306",G24000504207011,"24","005","420701","1","240054207011",Block Group 1,G5030,S,1734294,0,"+39.2771778","-076.5138352",6092.32668625,1734293.99393
"307",G24000504207021,"24","005","420702","1","240054207021",Block Group 1,G5030,S,643330,0,"+39.2759334","-076.5254147",3693.02108536,643328.985966
"308",G24000504208001,"24","005","420800","1","240054208001",Block Group 1,G5030,S,339883,0,"+39.2703478","-076.5103538",3769.72297625,339884.019357
"309",G24000504208002,"24","005","420800","2","240054208002",Block Group 2,G5030,S,1070806,0,"+39.2659885","-076.5134493",4704.1864662,1070804.67449
"310",G24000504208003,"24","005","420800","3","240054208003",Block Group 3,G5030,S,367608,0,"+39.2705514","-076.5238208",2944.79469494,367608.761071
"311",G24000504209001,"24","005","420900","1","240054209001",Block Group 1,G5030,S,495595,0,"+39.2651397","-076.5224599",4361.392096,495593.658002
"312",G24000504209002,"24","005","420900","2","240054209002",Block Group 2,G5030,S,232650,0,"+39.2622820","-076.5225985",2116.70439295,232649.577122
"313",G24000504209003,"24","005","420900","3","240054209003",Block Group 3,G5030,S,306588,0,"+39.2589752","-076.5204701",2563.57288938,306586.881403
"314",G24000504210001,"24","005","421000","1","240054210001",Block Group 1,G5030,S,395953,0,"+39.2608517","-076.5274133",3861.50120782,395952.809644
"315",G24000504211011,"24","005","421101","1","240054211011",Block Group 1,G5030,S,358472,0,"+39.2558885","-076.5136066",3075.62076776,358472.192331
"316",G24000504211012,"24","005","421101","2","240054211012",Block Group 2,G5030,S,325067,0,"+39.2542544","-076.5190778",2441.25166123,325066.900914
"317",G24000504211021,"24","005","421102","1","240054211021",Block Group 1,G5030,S,414733,0,"+39.2485656","-076.5121667",2637.31469483,414732.713177
"318",G24000504211022,"24","005","421102","2","240054211022",Block Group 2,G5030,S,1717913,147542,"+39.2471468","-076.5252912",6550.747374,1717913.52448
"319",G24000504212001,"24","005","421200","1","240054212001",Block Group 1,G5030,S,722458,402664,"+39.2473669","-076.4995260",8750.63288714,722458.97187
"320",G24000504212002,"24","005","421200","2","240054212002",Block Group 2,G5030,S,181242,0,"+39.2453593","-076.5005847",1916.24991852,181241.58705
"321",G24000504213001,"24","005","421300","1","240054213001",Block Group 1,G5030,S,384663,91332,"+39.2429007","-076.5038874",4502.69551206,384664.643115
"322",G24000504213002,"24","005","421300","2","240054213002",Block Group 2,G5030,S,283029,325741,"+39.2389360","-076.5012745",3914.37186047,290326.910944
"323",G24000504213003,"24","005","421300","3","240054213003",Block Group 3,G5030,S,1322833,4112108,"+39.2251574","-076.5180454",8508.26016869,1383195.74693
"324",G24000504301011,"24","005","430101","1","240054301011",Block Group 1,G5030,S,356903,0,"+39.2395118","-076.6467480",2882.28882135,356903.411857
"325",G24000504301012,"24","005","430101","2","240054301012",Block Group 2,G5030,S,1108467,2098,"+39.2382101","-076.6437019",6804.0996144,1110566.14756
"326",G24000504301041,"24","005","430104","1","240054301041",Block Group 1,G5030,S,647593,0,"+39.2318876","-076.6384006",3662.65364544,647594.19731
"327",G24000504301042,"24","005","430104","2","240054301042",Block Group 2,G5030,S,844004,0,"+39.2407284","-076.6363390",3919.49300405,844007.304522
"328",G24000504302001,"24","005","430200","1","240054302001",Block Group 1,G5030,S,609420,0,"+39.2505400","-076.6531896",4254.92212195,609420.277673
"329",G24000504302002,"24","005","430200","2","240054302002",Block Group 2,G5030,S,493906,0,"+39.2484280","-076.6610289",3153.3978046,493906.742424
"330",G24000504302003,"24","005","430200","3","240054302003",Block Group 3,G5030,S,558099,15655,"+39.2436551","-076.6527331",4735.76551448,573753.537652
"331",G24000504303001,"24","005","430300","1","240054303001",Block Group 1,G5030,S,823791,50235,"+39.2350187","-076.6563881",6431.08730469,874025.462252
"332",G24000504303002,"24","005","430300","2","240054303002",Block Group 2,G5030,S,209758,0,"+39.2384235","-076.6523803",2169.60076246,209759.615797
"333",G24000504303003,"24","005","430300","3","240054303003",Block Group 3,G5030,S,850408,4531,"+39.2391024","-076.6595098",5029.50144865,854936.724595
"334",G24000504303004,"24","005","430300","4","240054303004",Block Group 4,G5030,S,249908,11007,"+39.2400028","-076.6554400",2460.66759661,260916.446784
"335",G24000504304001,"24","005","430400","1","240054304001",Block Group 1,G5030,S,3453779,160,"+39.2536377","-076.6747913",8387.77845623,3453940.25541
"336",G24000504304002,"24","005","430400","2","240054304002",Block Group 2,G5030,S,1803542,1732,"+39.2434558","-076.6834068",5501.79704358,1805276.67938
"337",G24000504304003,"24","005","430400","3","240054304003",Block Group 3,G5030,S,1943339,0,"+39.2361278","-076.6813470",6236.8435787,1943336.99652
"338",G24000504306001,"24","005","430600","1","240054306001",Block Group 1,G5030,S,1301853,0,"+39.2315486","-076.6976508",5187.74150154,1301852.35752
"339",G24000504306002,"24","005","430600","2","240054306002",Block Group 2,G5030,S,3375549,2437,"+39.2280422","-076.7097142",11407.1680359,3377979.80239
"340",G24000504307001,"24","005","430700","1","240054307001",Block Group 1,G5030,S,505255,0,"+39.2435092","-076.6941889",3282.38992874,505254.092409
"341",G24000504307002,"24","005","430700","2","240054307002",Block Group 2,G5030,S,993921,0,"+39.2379809","-076.7051771",4537.37052473,993920.224659
"342",G24000504307003,"24","005","430700","3","240054307003",Block Group 3,G5030,S,707733,0,"+39.2437831","-076.7042524",3637.2169656,707735.058074
"343",G24000504308001,"24","005","430800","1","240054308001",Block Group 1,G5030,S,647321,0,"+39.2528138","-076.6949322",3615.35823946,647323.320342
"344",G24000504308002,"24","005","430800","2","240054308002",Block Group 2,G5030,S,203892,0,"+39.2583761","-076.7027270",2213.94436032,203894.205385
"345",G24000504308003,"24","005","430800","3","240054308003",Block Group 3,G5030,S,511489,0,"+39.2495654","-076.7012651",3466.62751647,511488.540374
"346",G24000504309001,"24","005","430900","1","240054309001",Block Group 1,G5030,S,803136,0,"+39.2621534","-076.6904009",4176.79943023,803135.678914
"347",G24000504309002,"24","005","430900","2","240054309002",Block Group 2,G5030,S,191230,0,"+39.2641338","-076.6955747",1948.7779825,191231.324187
"348",G24000504309003,"24","005","430900","3","240054309003",Block Group 3,G5030,S,459948,0,"+39.2611766","-076.7004452",3457.75253585,459945.964865
"349",G24000504401001,"24","005","440100","1","240054401001",Block Group 1,G5030,S,700721,0,"+39.3834734","-076.5273800",3572.00150939,700720.755654
"350",G24000504401002,"24","005","440100","2","240054401002",Block Group 2,G5030,S,543969,0,"+39.3769109","-076.5282547",3108.34076363,543967.147524
"351",G24000504401003,"24","005","440100","3","240054401003",Block Group 3,G5030,S,412449,0,"+39.3737216","-076.5369014",3548.73234541,412449.329623
"352",G24000504401004,"24","005","440100","4","240054401004",Block Group 4,G5030,S,411567,0,"+39.3787635","-076.5349629",2690.77255514,411565.9698
"353",G24000504402001,"24","005","440200","1","240054402001",Block Group 1,G5030,S,260390,0,"+39.3604633","-076.5278665",2850.027356,260391.62049
"354",G24000504402002,"24","005","440200","2","240054402002",Block Group 2,G5030,S,1618105,0,"+39.3698783","-076.5227135",6267.9960815,1618104.33677
"355",G24000504403001,"24","005","440300","1","240054403001",Block Group 1,G5030,S,1228553,0,"+39.3776596","-076.5129228",6415.68014765,1228554.15455
"356",G24000504404001,"24","005","440400","1","240054404001",Block Group 1,G5030,S,580947,0,"+39.3569804","-076.5235138",3043.18414701,580947.445155
"357",G24000504404002,"24","005","440400","2","240054404002",Block Group 2,G5030,S,801391,0,"+39.3503464","-076.5179469",4130.03334826,801391.993393
"358",G24000504404003,"24","005","440400","3","240054404003",Block Group 3,G5030,S,946054,0,"+39.3437344","-076.5243736",5089.06196712,946054.207425
"359",G24000504404004,"24","005","440400","4","240054404004",Block Group 4,G5030,S,344258,0,"+39.3512051","-076.5260071",2472.99029828,344258.164625
"360",G24000504405001,"24","005","440500","1","240054405001",Block Group 1,G5030,S,2580349,0,"+39.3557119","-076.5089903",8562.04805575,2580347.31085
"361",G24000504405002,"24","005","440500","2","240054405002",Block Group 2,G5030,S,401967,0,"+39.3608027","-076.5176012",3089.59185575,401966.90595
"362",G24000504406001,"24","005","440600","1","240054406001",Block Group 1,G5030,S,6128746,14443,"+39.3714528","-076.4818923",12170.3537706,6143182.79245
"363",G24000504407011,"24","005","440701","1","240054407011",Block Group 1,G5030,S,1403125,4918,"+39.3492945","-076.4912271",5540.24513208,1408041.11051
"364",G24000504407012,"24","005","440701","2","240054407012",Block Group 2,G5030,S,1777164,0,"+39.3538587","-076.4754398",5617.96803063,1777160.91823
"365",G24000504407013,"24","005","440701","3","240054407013",Block Group 3,G5030,S,726710,0,"+39.3462767","-076.4813295",3414.83089208,726710.728525
"366",G24000504407021,"24","005","440702","1","240054407021",Block Group 1,G5030,S,1334113,12092,"+39.3625360","-076.4585163",5068.21653465,1346203.47296
"367",G24000504407022,"24","005","440702","2","240054407022",Block Group 2,G5030,S,1501669,12572,"+39.3666621","-076.4612367",7684.08915683,1514238.13941
"368",G24000504408001,"24","005","440800","1","240054408001",Block Group 1,G5030,S,2936111,2985,"+39.3644635","-076.4975354",8201.05082332,2939098.03627
"369",G24000504409001,"24","005","440900","1","240054409001",Block Group 1,G5030,S,736964,0,"+39.3408091","-076.5056432",4450.21617869,736964.087956
"370",G24000504409002,"24","005","440900","2","240054409002",Block Group 2,G5030,S,1189313,0,"+39.3430184","-076.4985162",5865.57007792,1189309.837
"371",G24000504410001,"24","005","441000","1","240054410001",Block Group 1,G5030,S,1064837,0,"+39.3365915","-076.5224704",4379.55293423,1064836.1375
"372",G24000504410002,"24","005","441000","2","240054410002",Block Group 2,G5030,S,322489,0,"+39.3286648","-076.5270370",2585.06486658,322490.154652
"373",G24000504411011,"24","005","441101","1","240054411011",Block Group 1,G5030,S,979840,0,"+39.3302992","-076.5060996",6604.58302504,979839.573284
"374",G24000504411012,"24","005","441101","2","240054411012",Block Group 2,G5030,S,550450,0,"+39.3365843","-076.5085440",3762.73446992,550451.91059
"375",G24000504411021,"24","005","441102","1","240054411021",Block Group 1,G5030,S,620588,0,"+39.3326049","-076.5162595",5031.0191072,620585.956994
"376",G24000504411022,"24","005","441102","2","240054411022",Block Group 2,G5030,S,441278,0,"+39.3260603","-076.5147418",3614.64858299,441278.360542
"377",G24000504411023,"24","005","441102","3","240054411023",Block Group 3,G5030,S,422692,0,"+39.3242330","-076.5196957",3361.54112506,422690.630894
"378",G24000504411024,"24","005","441102","4","240054411024",Block Group 4,G5030,S,1107363,0,"+39.3196912","-076.5253445",5460.13000796,1107360.14228
"379",G24000504501001,"24","005","450100","1","240054501001",Block Group 1,G5030,S,1214820,0,"+39.3275555","-076.5002610",5865.51472475,1214819.12644
"380",G24000504501002,"24","005","450100","2","240054501002",Block Group 2,G5030,S,3288067,111149,"+39.3085075","-076.5229595",8113.23587461,3379254.81854
"381",G24000504501003,"24","005","450100","3","240054501003",Block Group 3,G5030,S,4624659,528073,"+39.3241328","-076.4902053",12032.9221003,4645611.00477
"382",G24000504502001,"24","005","450200","1","240054502001",Block Group 1,G5030,S,1221001,260687,"+39.3217503","-076.4753422",10216.6625145,1220999.77357
"383",G24000504502002,"24","005","450200","2","240054502002",Block Group 2,G5030,S,495485,0,"+39.3136124","-076.4809227",2684.82907587,495485.096076
"384",G24000504502003,"24","005","450200","3","240054502003",Block Group 3,G5030,S,329701,0,"+39.3074380","-076.4830878",3159.10014944,329699.875371
"385",G24000504503001,"24","005","450300","1","240054503001",Block Group 1,G5030,S,1744675,0,"+39.3206753","-076.4653841",5359.7118766,1744675.91246
"386",G24000504503002,"24","005","450300","2","240054503002",Block Group 2,G5030,S,648567,0,"+39.3125300","-076.4729997",4148.64910394,648565.320898
"387",G24000504504001,"24","005","450400","1","240054504001",Block Group 1,G5030,S,585230,1567939,"+39.3002921","-076.4730167",9632.43736128,585230.925047
"388",G24000504504002,"24","005","450400","2","240054504002",Block Group 2,G5030,S,606273,0,"+39.3051907","-076.4751626",4654.0420169,606272.177358
"389",G24000504505011,"24","005","450501","1","240054505011",Block Group 1,G5030,S,963905,0,"+39.3135025","-076.4565468",4070.78336773,963905.570398
"390",G24000504505012,"24","005","450501","2","240054505012",Block Group 2,G5030,S,937899,41584,"+39.3045961","-076.4600397",5654.33847985,937899.52624
"391",G24000504505013,"24","005","450501","3","240054505013",Block Group 3,G5030,S,514332,122665,"+39.3013511","-076.4639541",4684.75856831,514332.160745
"392",G24000504505031,"24","005","450503","1","240054505031",Block Group 1,G5030,S,226807,0,"+39.3071646","-076.4508816",2719.89824042,226807.2316
"393",G24000504505032,"24","005","450503","2","240054505032",Block Group 2,G5030,S,338928,0,"+39.2966856","-076.4531138",2828.70605886,338925.74966
"394",G24000504505033,"24","005","450503","3","240054505033",Block Group 3,G5030,S,359931,87876,"+39.2999399","-076.4529443",5336.24645386,359929.858913
"395",G24000504505041,"24","005","450504","1","240054505041",Block Group 1,G5030,S,235576,0,"+39.3094510","-076.4482920",2078.43002976,235574.501051
"396",G24000504505042,"24","005","450504","2","240054505042",Block Group 2,G5030,S,367524,0,"+39.3042981","-076.4455856",2546.04193297,367523.842458
"397",G24000504505043,"24","005","450504","3","240054505043",Block Group 3,G5030,S,559728,0,"+39.2988586","-076.4441578",3584.44240243,559727.241903
"398",G24000504508001,"24","005","450800","1","240054508001",Block Group 1,G5030,S,777202,242811,"+39.3198517","-076.4418916",4809.91820393,777202.452947
"399",G24000504508002,"24","005","450800","2","240054508002",Block Group 2,G5030,S,821077,108521,"+39.3147828","-076.4453735",5219.69554896,821077.963724
"400",G24000504508003,"24","005","450800","3","240054508003",Block Group 3,G5030,S,476330,0,"+39.3199079","-076.4496341",3853.73051382,476331.653144
"401",G24000504509001,"24","005","450900","1","240054509001",Block Group 1,G5030,S,1290002,845675,"+39.3089528","-076.4271155",8088.52263249,1299357.34364
"402",G24000504509002,"24","005","450900","2","240054509002",Block Group 2,G5030,S,3923300,2076490,"+39.2961824","-076.4124315",20286.2869686,3923302.38703
"403",G24000504510001,"24","005","451000","1","240054510001",Block Group 1,G5030,S,4209936,6196087,"+39.2792288","-076.4002397",22287.0592594,4214069.95122
"404",G24000504510002,"24","005","451000","2","240054510002",Block Group 2,G5030,S,9424951,14183339,"+39.2690957","-076.4143864",22802.8601536,9458711.91365
"405",G24000504511001,"24","005","451100","1","240054511001",Block Group 1,G5030,S,2656260,1428689,"+39.2900533","-076.4465244",12576.2427151,2656258.73817
"406",G24000504512001,"24","005","451200","1","240054512001",Block Group 1,G5030,S,4017147,2805,"+39.3393545","-076.4712868",11333.045687,4019950.74908
"407",G24000504512002,"24","005","451200","2","240054512002",Block Group 2,G5030,S,1019031,0,"+39.3313272","-076.4552213",7369.6950427,1019028.49963
"408",G24000504513001,"24","005","451300","1","240054513001",Block Group 1,G5030,S,1425343,12601,"+39.3452703","-076.4569853",5225.95958088,1437941.70739
"409",G24000504513002,"24","005","451300","2","240054513002",Block Group 2,G5030,S,710900,0,"+39.3377976","-076.4510826",3578.31508142,710899.859699
"410",G24000504514011,"24","005","451401","1","240054514011",Block Group 1,G5030,S,232807,0,"+39.3493127","-076.4444787",2002.791136,232806.661518
"411",G24000504514012,"24","005","451401","2","240054514012",Block Group 2,G5030,S,464801,0,"+39.3445911","-076.4463607",2909.13391521,464799.883758
"412",G24000504514021,"24","005","451402","1","240054514021",Block Group 1,G5030,S,1697610,0,"+39.3388317","-076.4296197",8118.36572431,1697609.05468
"413",G24000504514022,"24","005","451402","2","240054514022",Block Group 2,G5030,S,96198,0,"+39.3458419","-076.4415756",1351.24071022,96198.0810339
"414",G24000504514023,"24","005","451402","3","240054514023",Block Group 3,G5030,S,1004862,0,"+39.3433615","-076.4403794",7026.33447758,1004861.07095
"415",G24000504515001,"24","005","451500","1","240054515001",Block Group 1,G5030,S,252355,0,"+39.3239754","-076.4363410",3114.06938673,252353.045103
"416",G24000504515002,"24","005","451500","2","240054515002",Block Group 2,G5030,S,134978,0,"+39.3186747","-076.4309906",1974.231424,134979.647588
"417",G24000504515003,"24","005","451500","3","240054515003",Block Group 3,G5030,S,440939,430931,"+39.3166089","-076.4270045",9657.0629042,440939.680665
"418",G24000504516001,"24","005","451600","1","240054516001",Block Group 1,G5030,S,3898328,942695,"+39.3233821","-076.4148773",15299.2384972,3901581.92308
"419",G24000504516002,"24","005","451600","2","240054516002",Block Group 2,G5030,S,1525336,454232,"+39.3215603","-076.4240184",10265.5892476,1525333.76544
"420",G24000504517011,"24","005","451701","1","240054517011",Block Group 1,G5030,S,11533719,236057,"+39.3555963","-076.4057809",16472.1632995,11769782.0329
"421",G24000504517012,"24","005","451701","2","240054517012",Block Group 2,G5030,S,4643131,17068,"+39.3622104","-076.4400106",11254.7556668,4660199.34287
"422",G24000504517021,"24","005","451702","1","240054517021",Block Group 1,G5030,S,6127513,1419585,"+39.3695933","-076.3946527",20824.3812323,6131363.90995
"423",G24000504517022,"24","005","451702","2","240054517022",Block Group 2,G5030,S,866255,1336616,"+39.3796631","-076.3588106",4809.68697953,866256.685451
"424",G24000504518011,"24","005","451801","1","240054518011",Block Group 1,G5030,S,555878,0,"+39.3746121","-076.3532667",4012.02128296,555877.026392
"425",G24000504518012,"24","005","451801","2","240054518012",Block Group 2,G5030,S,4623650,9610214,"+39.3646198","-076.3406285",15749.803259,4641459.93088
"426",G24000504518013,"24","005","451801","3","240054518013",Block Group 3,G5030,S,2521947,441570,"+39.3493445","-076.3545558",13381.3954992,2521945.1836
"427",G24000504518014,"24","005","451801","4","240054518014",Block Group 4,G5030,S,2825477,1335958,"+39.3526620","-076.3734108",14337.3594229,2836296.73136
"428",G24000504518021,"24","005","451802","1","240054518021",Block Group 1,G5030,S,2559009,2002139,"+39.3197390","-076.3969527",18409.0401921,2560314.27139
"429",G24000504518022,"24","005","451802","2","240054518022",Block Group 2,G5030,S,6064159,19808286,"+39.3178542","-076.3499360",36071.1072016,6069322.42421
"430",G24000504518023,"24","005","451802","3","240054518023",Block Group 3,G5030,S,2319174,426046,"+39.3430790","-076.3908834",12465.7015014,2371922.07778
"431",G24000504518031,"24","005","451803","1","240054518031",Block Group 1,G5030,S,2686797,1073190,"+39.3272497","-076.3683334",12024.9629622,2690155.13341
"432",G24000504518032,"24","005","451803","2","240054518032",Block Group 2,G5030,S,975675,94989,"+39.3260736","-076.3888357",6101.14438423,981364.606406
"433",G24000504519001,"24","005","451900","1","240054519001",Block Group 1,G5030,S,1968679,1850048,"+39.2305665","-076.4214526",7801.53542362,1985807.61077
"434",G24000504519002,"24","005","451900","2","240054519002",Block Group 2,G5030,S,9863675,92122468,"+39.2452410","-076.3573513",35417.8203389,9961811.29662
"435",G24000504519003,"24","005","451900","3","240054519003",Block Group 3,G5030,S,1602830,615188,"+39.2191192","-076.4385551",10865.2760716,1602831.08352
"436",G24000504520001,"24","005","452000","1","240054520001",Block Group 1,G5030,S,499788,476726,"+39.2442091","-076.4452518",5176.47704155,499789.554422
"437",G24000504520002,"24","005","452000","2","240054520002",Block Group 2,G5030,S,1071342,2020,"+39.2384851","-076.4483362",4642.60900787,1073361.50617
"438",G24000504521001,"24","005","452100","1","240054521001",Block Group 1,G5030,S,1228995,793744,"+39.2215786","-076.4476830",7042.88023084,1230268.77622
"439",G24000504521002,"24","005","452100","2","240054521002",Block Group 2,G5030,S,654902,298810,"+39.2261671","-076.4538856",6577.17475835,654904.239115
"440",G24000504521003,"24","005","452100","3","240054521003",Block Group 3,G5030,S,1010735,140067,"+39.2296130","-076.4624267",6440.87890929,1013309.61102
"441",G24000504523001,"24","005","452300","1","240054523001",Block Group 1,G5030,S,184285,0,"+39.2973496","-076.5129811",1817.9474148,184285.092862
"442",G24000504523002,"24","005","452300","2","240054523002",Block Group 2,G5030,S,2133846,223651,"+39.3019243","-076.5093967",10082.9585495,2165059.29195
"443",G24000504524001,"24","005","452400","1","240054524001",Block Group 1,G5030,S,5369247,948347,"+39.2958995","-076.4988708",12894.3554593,5382923.88227
"444",G24000504524002,"24","005","452400","2","240054524002",Block Group 2,G5030,S,6980143,3825536,"+39.2613077","-076.4595248",21868.3664388,7039777.50515
"445",G24000504525001,"24","005","452500","1","240054525001",Block Group 1,G5030,S,540013,313538,"+39.2667569","-076.4742084",9020.33717752,540012.936712
"446",G24000504525002,"24","005","452500","2","240054525002",Block Group 2,G5030,S,542638,0,"+39.2676751","-076.4721545",3604.31359999,542639.50324
"447",G24000504525003,"24","005","452500","3","240054525003",Block Group 3,G5030,S,348571,0,"+39.2597346","-076.4671691",3465.97361941,348569.33834
"448",G24000504901001,"24","005","490100","1","240054901001",Block Group 1,G5030,S,6386270,384694,"+39.4210010","-076.5569010",14117.8638294,6770962.64766
"449",G24000504901002,"24","005","490100","2","240054901002",Block Group 2,G5030,S,4820351,655449,"+39.4335891","-076.5725279",12549.0573671,5475797.65437
"450",G24000504901003,"24","005","490100","3","240054901003",Block Group 3,G5030,S,3336456,0,"+39.4159039","-076.5803626",10224.7601853,3336455.52736
"451",G24000504902001,"24","005","490200","1","240054902001",Block Group 1,G5030,S,958383,0,"+39.4194402","-076.6029984",3951.31848591,958381.671927
"452",G24000504902002,"24","005","490200","2","240054902002",Block Group 2,G5030,S,713052,0,"+39.4180705","-076.6124067",4247.52549585,713050.223415
"453",G24000504902003,"24","005","490200","3","240054902003",Block Group 3,G5030,S,569389,0,"+39.4164127","-076.6210674",4044.00621671,569388.971531
"454",G24000504903011,"24","005","490301","1","240054903011",Block Group 1,G5030,S,460849,0,"+39.4062847","-076.6046956",3045.30682976,460852.540899
"455",G24000504903012,"24","005","490301","2","240054903012",Block Group 2,G5030,S,956175,0,"+39.4110084","-076.6200956",6071.8567102,956173.949385
"456",G24000504903013,"24","005","490301","3","240054903013",Block Group 3,G5030,S,605920,0,"+39.4108941","-076.6079842",4270.59545182,605919.243807
"457",G24000504903021,"24","005","490302","1","240054903021",Block Group 1,G5030,S,753237,0,"+39.4034966","-076.5772082",3753.56203368,753239.08056
"458",G24000504903022,"24","005","490302","2","240054903022",Block Group 2,G5030,S,1918543,0,"+39.4084251","-076.5905877",5300.08785968,1918539.85282
"459",G24000504904001,"24","005","490400","1","240054904001",Block Group 1,G5030,S,2531861,0,"+39.4068947","-076.6585580",8737.41635724,2531865.52797
"460",G24000504904002,"24","005","490400","2","240054904002",Block Group 2,G5030,S,3267323,247270,"+39.3913440","-076.6563473",8172.96127467,3514595.06258
"461",G24000504905001,"24","005","490500","1","240054905001",Block Group 1,G5030,S,1291419,1687,"+39.4090992","-076.6380373",5153.90676119,1293106.28708
"462",G24000504905002,"24","005","490500","2","240054905002",Block Group 2,G5030,S,2794062,0,"+39.3942540","-076.6351210",7168.47397568,2794061.07487
"463",G24000504905003,"24","005","490500","3","240054905003",Block Group 3,G5030,S,2484113,96451,"+39.3749384","-076.6318343",7251.32583006,2580559.85943
"464",G24000504906011,"24","005","490601","1","240054906011",Block Group 1,G5030,S,172475,0,"+39.3770695","-076.6145482",2362.39400973,172475.584791
"465",G24000504906012,"24","005","490601","2","240054906012",Block Group 2,G5030,S,380197,0,"+39.3742348","-076.6140816",2546.41084402,380198.143376
"466",G24000504906021,"24","005","490602","1","240054906021",Block Group 1,G5030,S,458694,0,"+39.3828740","-076.6110081",3691.5419636,458694.259793
"467",G24000504906022,"24","005","490602","2","240054906022",Block Group 2,G5030,S,327474,0,"+39.3791338","-076.6162221",2939.9179095,327478.139332
"468",G24000504906031,"24","005","490603","1","240054906031",Block Group 1,G5030,S,521412,0,"+39.3833999","-076.6208959",3967.33621857,521412.582252
"469",G24000504906032,"24","005","490603","2","240054906032",Block Group 2,G5030,S,546857,0,"+39.3760720","-076.6234844",3323.43485289,546856.051669
"470",G24000504906051,"24","005","490605","1","240054906051",Block Group 1,G5030,S,1699548,1315,"+39.3912441","-076.6191961",6373.0522215,1700863.70668
"471",G24000504906052,"24","005","490605","2","240054906052",Block Group 2,G5030,S,487216,0,"+39.3939079","-076.6090588",2927.21622708,487216.863272
"472",G24000504907011,"24","005","490701","1","240054907011",Block Group 1,G5030,S,1306997,3036,"+39.4063887","-076.6260723",5149.88635562,1310031.87619
"473",G24000504907031,"24","005","490703","1","240054907031",Block Group 1,G5030,S,964612,0,"+39.4018321","-076.6114251",5181.30382926,964613.248354
"474",G24000504907032,"24","005","490703","2","240054907032",Block Group 2,G5030,S,568190,0,"+39.3980366","-076.6158279",3963.37772177,568191.023919
"475",G24000504908001,"24","005","490800","1","240054908001",Block Group 1,G5030,S,532701,0,"+39.3896096","-076.5935412",3675.218112,532704.268203
"476",G24000504908002,"24","005","490800","2","240054908002",Block Group 2,G5030,S,923292,0,"+39.3897005","-076.6009808",4232.78155462,923292.250119
"477",G24000504909001,"24","005","490900","1","240054909001",Block Group 1,G5030,S,771043,0,"+39.3984705","-076.5919749",3800.41576048,771043.047551
"478",G24000504909002,"24","005","490900","2","240054909002",Block Group 2,G5030,S,602695,0,"+39.4000994","-076.5996393",3408.58173574,602694.225037
"479",G24000504909003,"24","005","490900","3","240054909003",Block Group 3,G5030,S,135624,0,"+39.3941610","-076.5853864",2176.48973778,135622.811448
"480",G24000504910001,"24","005","491000","1","240054910001",Block Group 1,G5030,S,716174,0,"+39.3798427","-076.5943134",5103.99641798,716173.54681
"481",G24000504910002,"24","005","491000","2","240054910002",Block Group 2,G5030,S,525927,0,"+39.3802042","-076.6029684",3301.30445171,525927.142263
"482",G24000504911001,"24","005","491100","1","240054911001",Block Group 1,G5030,S,364284,0,"+39.3737690","-076.5904358",2721.01356626,364285.591319
"483",G24000504911002,"24","005","491100","2","240054911002",Block Group 2,G5030,S,408766,0,"+39.3735266","-076.6031641",3190.46788417,408765.509973
"484",G24000504911003,"24","005","491100","3","240054911003",Block Group 3,G5030,S,324221,0,"+39.3761379","-076.6020615",3012.00394271,324220.00508
"485",G24000504912011,"24","005","491201","1","240054912011",Block Group 1,G5030,S,1126592,0,"+39.3979529","-076.5729429",6131.28324382,1126592.51883
"486",G24000504912012,"24","005","491201","2","240054912012",Block Group 2,G5030,S,566373,0,"+39.3951366","-076.5777041",4072.24239421,566373.932195
"487",G24000504912021,"24","005","491202","1","240054912021",Block Group 1,G5030,S,471101,0,"+39.3912923","-076.5749524",4534.71525454,471097.997298
"488",G24000504912022,"24","005","491202","2","240054912022",Block Group 2,G5030,S,314309,0,"+39.3887490","-076.5771878",2330.83516305,314305.959693
"489",G24000504913001,"24","005","491300","1","240054913001",Block Group 1,G5030,S,1350822,0,"+39.3833481","-076.5869725",6755.8585247,1350823.99064
"490",G24000504913002,"24","005","491300","2","240054913002",Block Group 2,G5030,S,551748,0,"+39.3835805","-076.5816475",3419.16751252,551744.895865
"491",G24000504914011,"24","005","491401","1","240054914011",Block Group 1,G5030,S,118989,0,"+39.3776160","-076.5702430",1904.02089505,118989.580373
"492",G24000504914012,"24","005","491401","2","240054914012",Block Group 2,G5030,S,487615,0,"+39.3809061","-076.5752209",2879.9365551,487616.280917
"493",G24000504914013,"24","005","491401","3","240054914013",Block Group 3,G5030,S,597958,0,"+39.3746921","-076.5748770",3670.79447038,597958.816032
"494",G24000504914021,"24","005","491402","1","240054914021",Block Group 1,G5030,S,695366,0,"+39.3778527","-076.5625126",3533.57689941,695363.896802
"495",G24000504914022,"24","005","491402","2","240054914022",Block Group 2,G5030,S,194161,0,"+39.3807731","-076.5680391",1902.088083,194159.835561
"496",G24000504915001,"24","005","491500","1","240054915001",Block Group 1,G5030,S,260106,0,"+39.3884518","-076.5622437",2289.30515331,260106.672586
"497",G24000504915002,"24","005","491500","2","240054915002",Block Group 2,G5030,S,632625,0,"+39.3846600","-076.5664178",4557.86099838,632626.072726
